Job Title,Company Name,Location,Posted Time Ago,Description,Seniority Level,Employment Type,Job Function,Industries,Industries Sorted
"VP, Information Technology","Ardelyx, Inc.","Fremont, CA",2 weeks ago,"Description

Ardelyx is focused on enhancing the way people with kidney and cardiovascular diseases are treated by developing innovative first-in-class medicines. Ardelyx’s pipeline includes tenapanor for the control of serum phosphorus in adult patients with CKD on dialysis, preparing for NDA filing mid-year, and RDX013, a potassium secretagogue program for the potential treatment of high potassium, or hyperkalemia, a problem among certain patients with kidney and/or heart disease. In addition, Ardelyx received FDA approval of IBSRELA (tenapanor) on September 12, 2019. Ardelyx has established agreements for tenapanor with Kyowa Kirin Corporation in Japan, Fosun Pharma in China and Knight Therapeutics in Canada for the development and commercialization of tenapanor in the respective territories.

VP, Information Technology



Ardelyx is seeking an experienced leader to oversee enterprise Information Technology (IT) strategy and vision and drive cross-functional IT needs in the role of VP, Information Technology. This role is a key leadership position that will interact with all levels of management. The right candidate will combine relevant experience both in the life sciences industry, preferably biotechnology and/or pharmaceuticals, and ideally with small to mid-sized public companies. The VP’s goal is to deliver an architecture that supports the most efficient IT environment meeting current needs while preparing for future growth and development. The role requires a hands-on, can do attitude and the ability to juggle IT requirements with the additional demands of a growing organization. The successful candidate will be well versed with industry trends and cutting-edge technologies and be responsible for the development and execution of the enterprise IT strategy, including IT governance, risk & compliance, technology due diligence and selection, project management, and service delivery models. Key to this role will be balancing the technical aspects of this position with the ability to integrate the company’s corporate strategy with IT priorities, taking operational, cybersecurity, data privacy and compliance risk into consideration, while balancing fiscal responsibility.






Experience in cyber securityston, MA or Fremont, CA) with domestic travel up to 25%.

As a member of the Ardelyx team, you will help us in developing and bringing to market first in class medicines to better the lives of underserved patients with cardiorenal diseases. It’s the patients in need that motivate and inspire us to be relentless and work hard every day. They push us to maintain a clear focus on scientific and clinical integrity with a commitment to medical innovation so that we can deliver exceptional medicines.

We are seeking the best in class scientists, advanced thinkers, and people who thrive on collaboration to co-create the future. You will be working with some of the industry's best scientists in a team environment focused on world class research. Ardelyx offers a competitive total rewards package, perks and an innovative and dynamic culture and research environment.",Executive,Full-time,Information Technology,BiotechnologyHospital & Health CarePharmaceuticals,Biotechnology
Senior Director Information Technology,Special Olympics Northern California,"Pleasant Hill, CA",2 weeks ago,"We change lives every day. Special Olympics Northern California & Nevada (Special Olympics) serves 25,000 Special Olympics athletes through health, fitness, education, sports training & competitions. Special Olympics is part of an inclusion movement that combines education, health, and community development services to children & adults with & without intellectual disabilities.",Director,Full-time,Information Technology,"Health, Wellness and FitnessCivic & Social OrganizationNonprofit Organization Management",Health
Director of Information Technology,FWD.us,"San Francisco, CA",8 months ago,"Who We Are

FWD.us is a bipartisan political organization that believes America's families, communities, and economy thrive when everyone has the opportunity to achieve their full potential. For too long, our broken immigration and criminal justice systems have locked too many people out from the American dream. Founded by leaders in the technology and business communities, we seek to grow and galvanize political support to break through partisan gridlock and achieve meaningful reforms. Together, we can move America forward.

The Director of Information Technology will be a member of the Community Department, whose mission is to build and engage the supporter base needed to effect policy change. The Director of Information Technology will report to the Head of Technology.

The Director of Information Technology will work with the Head of Technology to oversee and support the technical infrastructure of FWD.us. This includes tracking our technology in order to achieve goals, meet quotas, eliminate security risks, increase user satisfaction, and maintain operations and systems. The Director of Information Technology will build security-focused infrastructure, systems, and technology solutions and help to cultivate a culture of shared best practices and knowledge around FWD.us products and technologies.











We are an organization committed to making the world a better place for all people. Diversity is the source of our strength, and allows us to make better decisions, be more impactful, and be better at our jobs day to day. We see our internal commitment to diversity to be reflective of how we view the world and the changes we want to see become reality.

This company is an equal opportunity employer and does not unlawfully discriminate against employees or applications for employment on the basis of an individual's race, color, religion, creed, sex, national origin, age, disability, marital status, veteran status or any other status protected by applicable law. This policy applies to all terms, conditions and privileges of employment, including recruitment, hiring, placement, compensation, promotion, discipline and termination.

Whenever possible, the company makes reasonable accommodations for qualified individuals with disabilities to the extent required by law. Applicants who would like to request a reasonable accommodation should contact Human Resources.",Director,Full-time,Information Technology,Marketing and AdvertisingOnline MediaNonprofit Organization Management,Media
Director Of Information Technology,RiskLens,San Francisco Bay Area,3 weeks ago,"PLEASE NOTE THIS ROLE IS BASED IN SPOKANE, WA.

Are you looking to be part of an emerging software-as-a-service (SaaS) company, in one of the hottest spaces in the market?
 ",Director,Full-time,Information Technology,Computer SoftwareComputer & Network Security,Computer Software
"Director or VP, Information Technology",Gateway Exhibits,"San Diego, CA",3 weeks ago,"*****Please note, this is not a job posting, it is for a free networking group to help you in your job search.*****

These are uncertain times and perhaps you've become caught up in the uncertainty. Here at Gateway, we're feeling the same uncertainty.

I have started a networking/career counselling group that will not only offer job hunting advice, but also additional free tools to bring your job hunt to another level as well as help you keep sane by staying engaged in the job search.

If you're interested in more information, please drop me a note and I'll give you a broad overview of the format.

By way of an introduction I'll send you a handbook on how you can improve your online appearance and resume. If you are interested, I can also run a behavioral report about you, that will help detail your personality, how you prefer to manage, and how you prefer to be managed. You can add this report to your job applications, and I'll show you how to use that behavioral report to your advantage.

I've also uploaded some case studies that are recordings of virtual meetings to show you how you can apply your behavioral report to give any potential employers far greater insights in to not only your skills and experiences but what makes you tick. I look forward to connecting with you.

Again, I stress, it's free. I'm hoping to develop my network by offering you something that you can use right now because, candidly, most of my clients can't use our services right now!",Executive,Full-time,Information Technology,Marketing and AdvertisingInternetStaffing and Recruiting,Marketing and Advertising
Information Technology - Director Security Operations,Marvell Semiconductor,"Santa Clara, CA",4 days ago,"About Marvell

At Marvell, we believe that infrastructure powers progress. That execution is as essential as innovation. That better collaboration builds better technology. Trusted by the world’s leading technology companies for 25 years, we move, store, process and secure the world’s data with semiconductor solutions designed for our customers’ current needs and future ambitions. Through a process of deep collaboration and transparency, we’re ultimately changing the way tomorrow’s enterprise, cloud, automotive, and carrier architectures transform—for the better.

The data infrastructure that our customers build has never been more critical to our global economy. It’s what’s keeping the world connected, businesses running, and information flowing. If you’re ready to excel, innovate, and truly enjoy your work, apply now for the position detailed below.




Marvell is empowering the global data economy. Whether at the network core or edge, our leadership technologies make it possible for the world’s data to be processed, moved, stored and secured faster and more reliably. With leading intellectual property and deep system-level knowledge, Marvell's infrastructure semiconductor solutions are transforming the 5G, cloud, enterprise and automotive markets of tomorrow.

At Marvell, you’ll see your ideas put to work, share in the success of our company, and achieve a healthy life-work balance in a strong culture of corporate citizenship and global semiconductor leadership. If you are ready to excel, innovate, and truly enjoy where you work, apply now for the Lead Designer, Corporate Communications position and join Marvell’s growing Global Corporate Marketing and Communications organization.

The Role

The Information Security Director will be responsible for leading Marvell Security Operations team. Primarily, the Security Operations Director must ensure an appropriate, risk-based approach for Security Incident Response, Remediation and Recovery. This will be accomplished through the effective management of technical security operations staff, Implementations and maintenance of processes, and deployed security tools for detection, prevention and response.",Executive,Full-time,Information Technology,Computer HardwareComputer SoftwareSemiconductors,Computer Software
Senior Information Technology Director,CA & NV Real Estate LLCs,San Francisco Bay Area,2 weeks ago,"This is an exciting opportunity to build the strategy, infrastructure and technology practices for a high impact non-profit. Special Olympics has a need for a clear, scalable IT strategy. This role designs, develops, maintains and enhances systems to improve operations and data cohesiveness, and to meet the current and future needs of the organization.

This role requires an individual who is comfortable being both a creative and “hands on” leader with a demonstrated track record in directing change management and identifying areas for process improvement, and a comfort with acting in a consultative technical support capacity on various technology initiatives cross-departmentally.

The successful candidate drives IT projects that align with the needs of the organization. In addition to technical acumen, the position requires strong analytical skills, a commitment to delivering quality solutions on time and on budget, excellent communication and collaboration skills, and a curiosity for new insights and opportunities. This role reports directly to our Chief Operating Officer.

Our ideal applicant is not just a technical expert, but someone who can dive in and understand what’s important about our program, operations, development and marketing efforts, and then drive technology initiatives that get results that matter.

We want to meet you if you want your day to include:



We are looking for someone who has the following qualifications:",Director,Full-time,Information Technology,Nonprofit Organization ManagementFund-RaisingEvents Services,Nonprofit Organization Management
Director Of Information Technology,Community Psychiatry,"Sacramento, CA",2 weeks ago,"The Organization
Community Psychiatry is a leading provider of outpatient mental health services, focused on expanding access to high quality, compassionate care. We believe that by cultivating a community of caring professionals, we change lives for the better. And it’s not just our providers who are planting the seeds of change– each team member’s leadership and daily actions impact the lives of our patients and one another.",Director,Full-time,Information Technology,"Mental Health CareHospital & Health CareHealth, Wellness and Fitness",Health
Senior Director Information Technology,Murtech Consulting,"Rome, GA",1 week ago,"Responsibilities:
Manage and control OPEX IT budget according to company rules and HQ guidelines
Interact with local Finance and Controlling areas
Implement and deploy IT processes and procedures following HQ guidelines",Director,Full-time,Information Technology,Information Technology and ServicesAutomotive,Information Technology
Information Technology Director,"Interim, Inc.","Monterey, CA",5 days ago,"Job Description

The ideal candidate will interact with the Board of Directors, serves as a member of the management team and contributes to the development and implementation of agency strategies, policies and practices. The IT Director directly supervises the IT Department and other office staff as assigned, manages the IT network contractor.



Looking to make a difference? Our mission at Interim is to provide services and affordable housing to supporting members of our community with mental illness by building productive and satisfying lives in a world in which people with mental illness are able to live, work, learn and participate fully in the community. Join our team and instill hope in the community.



An exceptional benefit package including; Medical/Dental/Vision/403(b) retirement plan and Life Insurance. Offers competitive vacation and sick time.



To learn more about Interim and to apply for this position, please go to our website at http://www.interiminc.org/employment/.



Competitive Compensation; Exempt; 40 hours/week; Not Eligible for Overtime.



Executive Director.



Bachelor’s degree in business administration, information technology, finance, public health administration or related field. At least 5 years’ experience in general management positions, with a minimum of 3 years of supervisory experience; Excellent computer skills with proficiency in Microsoft Office programs; Experience providing overall direction to information technology staff and contractors, including networking, hardware, software and data management; Experience in development, installation and management of data networks (preferably including cloud computing solutions), data systems, and data analysis, including outcome measurement; Experience with data security, business continuation and disaster recovery management; Experience with evaluation, implementation and management of telecommunications systems including VOIP & cloud solutions); Experience with evaluation, implementation and management of surveillance systems; Experienced in negotiation with vendors, evaluation and purchasing or leasing of office equipment (such as MFP’s, mobile phones) and consideration of ergonomics in purchasing for workstations. Excellent and effective interpersonal skills and a collaborative management style; High comfort level working in diverse environment; Excellent communication skills both verbal and written. Ability to drive an automobile to travel to program sites and meetings, ability to see well enough to read data on a computer screen, ability to hear normal conversations and answer telephone, ability to communicate with other staff; hand, finger and body coordination sufficient to write clearly and to input data into a computer.

Knowledge of trends in local, state and federal policies and funding in the behavioral healthcare industry; experience with Electronic Medical Record Systems.

Valid California driver's license; auto in safe operating condition; auto liability insurance; good driving record; criminal record clearance; proof of authorization to work in the United States as required by Immigration and Reform Act of 1986. Ability to work independently with minimal supervision.



Under the supervision of the Executive Director, the Information Technology Director will assist with the following duties:



Ability to: operate a motor vehicle; climb stairs; possess good communication skills; meet the requirements of the classification and have mobility, vision, hearing and dexterity levels appropriate to the duties to be performed. Capable of the following extended activities: standing, sitting, climbing stairs.

Capable of the following intermittent activities: lifting 25 pounds or more and bending in the performance of infrequently performed office duties.

Must be able to work on site several days/week in Monterey County.

Note: Interim does not cover relocation costs.",Director,Full-time,Information Technology,Nonprofit Organization ManagementMental Health CareHospital & Health Care,Nonprofit Organization Management
