"Location" "lon" "lat"
"1" "Fremont, CA" -123.135817450772 49.2850624
"2" "Pleasant Hill, CA" -61.3700453 45.6436167
"3" "San Francisco, CA" -71.2743272 46.8443248
"4" "San Francisco Bay Area" -122.3558473 37.7884969
"5" "San Diego, CA" -117.1627714 32.7174209
"6" "Santa Clara, CA" -121.6846349 37.2333253
"7" "Sacramento, CA" -121.4943996 38.5815719
"8" "Rome, GA" -85.1646726 34.257038
"9" "Monterey, CA" -97.1414618042211 49.88525745
"10" "Ash Flat, AR" -91.6112681672048 36.2334209
"11" "Los Angeles, CA" -118.2427666 34.0536909
"12" "Minneapolis, MN" -93.2654692 44.9772995
"13" "Cuyahoga Falls, OH" -81.4848086 41.1348213
"14" "Naples, FL" -81.7942944 26.1421976
"15" "Lancaster, PA" -76.3056686 40.03813
"16" "El Dorado Hills, CA" -121.0743265 38.6561185
"17" "Anchorage, AK" -149.8948523 61.2163129
"18" "Santa Monica, CA" -75.559685 46.724362
"19" "Atlanta, GA" -84.3901849 33.7490987
"20" "Monroe, NJ" -74.4423759 40.8128777
"21" "Bamberg, SC" -81.0166235 33.2130154
"22" "Riverwoods, IL" -87.8970986 42.1676068
"23" "Nampa, ID" -116.5596313 43.5737361
"24" "Mississippi, United States" -89.7348497 32.9715645
"25" "Denver, CO" -104.9848623 39.7392364
"26" "Moorestown-Lenola, NJ" -74.9611209360035 39.9615945
"27" "Fort Worth, TX" -97.3327459 32.753177
"28" "New York, NY" -74.0060152 40.7127281
"29" "Greater Chicago Area" -87.6845332330466 41.7986935
"30" "Greater Boston" -71.2149601527003 42.3957387
"31" "St Louis, MO" -90.1998378 38.6264178
"32" "Buena Park, CA" -117.9962165 33.870413
"33" "Olympia, WA" -122.8950075 47.0451022
"34" "Washington, DC" -77.0365708 38.8949855
"35" "Pittsburgh, PA" -79.9900861 40.4416941
"36" "Titusville, FL" -80.8075538 28.6122187
"37" "Stone Mountain, GA" -84.1457505 33.8062166
"38" "Wichita, KS" -97.3375448 37.6922361
"39" "New York City Metropolitan Area" -0.5474899 44.8709699
"40" "Syracuse, NY" -76.1474244 43.0481221
"41" "Washington, MA" -73.1352255 42.3630028
"42" "Detroit, MI" -83.0466403 42.3315509
"43" "Springfield, MA" -72.589811 42.1014831
"44" "Woodland Hills, CA" -123.6264973 48.8265445
"45" "Houston, TX" -95.3676974 29.7589382
"46" "Prairie County, AR" -91.5751148 34.8105247
"47" "San Mateo, CA" -122.3330573 37.496904
"48" "Healdsburg, CA" -122.859002118421 38.6298355
"49" "Big Sky Meadow Village, MT" -111.3019001 45.2674286
"50" "Charlotte, NC" -80.843083 35.2272
"51" "Seattle, WA" -122.3300624 47.6038321
