company,date_posted,description,employment_type,industries,job_function,job_title,location,seniority_level
"Community Medical Centers, Inc.",5 hours ago,,Full-time,Finance,Sales,Grants Financial Analyst,"Stockton, CA",Entry level
Streamable,4 weeks ago,"The Streamable is seeking a Video Content Creator to produce and edit various types of videos for our The Streamable's new YouTube channel. We want creators passionate about cord-cutting and streaming. If you want to help millions of cord-cutters learn about the best in streaming services like Netflix, Disney Plus, Hulu and Sling TV, then this freelance opportunity is for you.,We offer the best in news, reviews and deals on streaming services and devices. Our site helps streaming enthusiasts find new services to help them cut the cord on cable, streamline their digital subscriptions and save hundreds a year.,Please visit our site at thestreamable.com to review the content we’ve published. If you’re excited about the content we're creating on The Streamable, we’d love to hear from you.,The creator's responsibilities include brainstorming video ideas, shooting and editing videos, and publishing them to our YouTube channel. You should develop content that helps inform and entertain streaming enthusiast about streaming services and devices.,Please share samples of your video work (portfolio) along with your application. This is a perfect opportunity for a young creator who are eager to hone their video creating skills with an experienced digital team with more than 15 years of experience in the industry as their mentor.,The company is based in San Francisco, but the position can be done from anywhere.,Applicants should include a cover letter, resume and links to several recent portfolio samples.,Only qualified candidates will be contacted for an initial phone interview. Freelancers are responsible for their own invoicing.",Full-time,Marketing,Public Relations,Video Content Creator,"San Francisco, CA",Entry level
Dollar Tree,3 weeks ago,"Responsible for assisting with all operational tasks within the store as delegated and assigned by the Store Manager with main focus on the front-end and sales floor operations. Also assist with the hiring, training and development of store associates as delegated by the Store Manager,Principal Duties and Responsibilities,This job specification should not be construed to imply that these requirements are the exclusive standards of the position. This is not to be considered a complete list of job duties, which appear in the job description for this position, and which may be amended from time to time at the discretion of Dollar Tree. Incumbents will follow any other instructions and perform any other related duties as may be required by their supervisor.,Dollar Tree is an equal opportunity employer.",Temporary,Management,Manufacturing,Operations Assistant Manager,"San Jose, CA",Associate
Heritage Bank of Commerce,1 day ago,"To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. High school diploma or general education degree (GED); or one to two years related experience and/or training; or equivalent combination of education and experience.,Provide exceptional customer service to all clients, prospective clients and Bank employees, in person, by electronic mail, and on the phone. Interact and establish rapport with all clients that conduct business in the branch. Display outstanding interpersonal skills and maintain a professional image at all times. Maintain a working knowledge of banking operations as it applies to the position. Possess a high level of knowledge and understanding of all Bank products and service fees in order to meet client needs and/or refer them to the appropriate department. Possess a high level understanding of account ownerships and the supporting documentation required by regulatory and bank procedures. Accurately input account information in the applicable computer programs as part of the new account process. Process with accuracy, all teller transactions as applicable in a timely manner. Manage assigned cash drawer within Bank policy and procedures. Assist supervisor with training new tellers as needed.,The CSR/New Accounts Representative is the employee in the branch who is primarily responsible for opening new accounts, handling customers' depository transactions (cash and non-cash teller transactions), and responding to client inquiries.,Benefits include competitive salary, bonus plan, medical, dental, group life & long term care insurance, vision care reimbursement, 401(k), and tuition reimbursement program, and a health club allowance. EOE",Full-time,Customer Service,Information Technology,CSR/New Accounts Representative,"Pleasanton, CA",Entry level
"QStride, Inc.",7 hours ago,"8+ years of experience in a Business Systems Analyst . Functional knowledge of Order to Cash flow for Product and Services. Functional Knowledge of Offer construct Quote to Order, Software Subscription and Renewals is a must. Functional Knowledge related to impact to finance processes, revenue accounting and management is preferred . Experience with relational databases such as SQL and experience in writing data queries and modelling business scenarios. Experience working with tools such as Rally, JIRA, Confluence. Master''''s degree in Computer Science, Management Information Systems, Business Administration (MBA) or a related equivalent degree. Alternatively, will accept a bachelor''''s degree in Computer Science, Management Information Systems, or a related equivalent degree plus 8 years of relevant BA experience lieu of a Master''''s degree.,Strong written and verbal communication skills including technical writing skills,Preferred Excellent presenter and is comfortable presenting to all levels of the organization Self-motivated individual who can lead changes to implementation Ability to think strategically and handle multiple projects simultaneously Proven track record delivering complex software solutions Strong knowledge of Quote to Order process Cisco background will be given 1st preference",Full-time,Business Development,Sales,Financial Business Analyst,"San Jose, CA",Associate
US Tech Solutions,7 hours ago,,Contract,Marketing,Writing/Editing,Content Strategist,"Menlo Park, CA",Mid-Senior level
The Hustle,4 weeks ago,"The Hustle is a fast-growing, San Francisco-based media company best known for its witty, no-nonsense newsletters that have entertained and educated readers since 2015. At the center of our success is our talented team.,We've built our business through two primary media products:Our weekday and Sunday emails, which deliver smart takes on business, technology, and culture news to more than 1 million loyal subscribers, and a thriving events business that connects an entrepreneurial-minded audience with some of the world's most successful business founders.,This June, we successfully launched a subscription research newsletter and website,Trends, that highlights emerging business opportunities and outlines how entrepreneurs can capitalize on them.,We are looking for an enthusiastic and skilled Growth Intern to join our growing San Francisco-based team.,As our Growth Intern you will be in a position to grow your skills and make an immediate impact on our fast growing business.",Full-time,Other,Marketing and Advertising,Intern - Growth,"San Francisco, CA",Internship
Flynn Restaurant Group,7 hours ago,,Full-time,Business Development,Analyst,Corporate Development Analyst,"San Francisco, CA",Associate
Collab,1 day ago,"Here at Collab we’re looking for a Creative Content Intern to support the Brands and Creative Teams with existing projects on all platforms, with a special focus on TikTok. You’ll be hands-on in creating, planning, and editing content for various brands for multiple clients in a variety of verticals. This role includes day to day posting as well as campaign support, analytics reporting, content creation, and creator activations.,SDL2019-256",Internship,Education,Training,Creative Content Intern,"San Francisco, CA",Internship
Stealth Venture Labs,7 hours ago,,Contract,Advertising,Marketing and Advertising,Paid Social Media Buyer,San Francisco Bay Area,Mid-Senior level
